"","genus","specificEpithet","subSpecies","species","tribe","code6"
"1","Amara","angustata",NA,"Amara angustata","Zabrini","amaraAngust"
"2","Amara","angustatoides",NA,"Amara angustatoides","Zabrini","amaraAngust"
"3","Amara","quenseli",NA,"Amara quenseli","Zabrini","amaraQuense"
"4","Amara","quenseli","quenseli","Amara quenseli quenseli","Zabrini","amaraQuense"
"5","Carabus","taedatus",NA,"Carabus taedatus","Carabini","carabuTaedat"
"6","Carabus","taedatus","taedatus","Carabus taedatus taedatus","Carabini","carabuTaedat"
"7","Carabus","truncaticollis",NA,"Carabus truncaticollis","Carabini","carabuTrunca"
"8","Carabus","truncaticollis","truncaticollis","Carabus truncaticollis truncaticollis","Carabini","carabuTrunca"
"9","Harpalus","pensylvanicus",NA,"Harpalus pensylvanicus","Harpalini","harpalPensyl"
"10","Harpalus","pensylvanicus","texanus","Harpalus pensylvanicus texanus","Harpalini","harpalPensyl"
"11","Pterostichini","UNKN",NA,"Pterostichini UNKN",NA,"pterosUNKN"
"12","Pterostichus","UNKN",NA,"Pterostichus UNKN","Pterostichini","pterosUNKN"
"13","Pterostichus","brevicornis",NA,"Pterostichus brevicornis","Pterostichini","pterosBrevic"
"14","Pterostichus","brevicornis","brevicornis","Pterostichus brevicornis brevicornis","Pterostichini","pterosBrevic"
"15","Pterostichus","coracinus",NA,"Pterostichus coracinus","Pterostichini","pterosCoraci"
"16","Pterostichus","coracinus","novus","Pterostichus coracinus novus","Pterostichini","pterosCoraci"
"17","Carabidae","UNKN",NA,"Carabidae UNKN",NA,"carabiUNKN"
"18","Pterostichini","UNKN",NA,"Pterostichini UNKN",NA,"pterosUNKN"
"19","Pterostichus","UNKN",NA,"Pterostichus UNKN","Pterostichini","pterosUNKN"
"20","Rhadine","UNKN",NA,"Rhadine UNKN","Platynini","rhadinUNKN"
"21","Selenophorus","UNKN",NA,"Selenophorus UNKN","Harpalini","selenoUNKN"
