scientificName,nameShort
Abies.balsamea,abiesBalsamea
Abies.concolor,abiesConcolor
Abies.grandis,abiesGrandis
Abies.lasiocarpa,abiesLasiocar
Acer.negundo,acerNegundo
Acer.pensylvanicum,acerPensylva
Acer.rubrum,acerRubrum
Acer.saccharinum,acerSacchari
Acer.saccharum,acerSaccharu
Amelanchier.UNKN,amelanchUNKN
Betula.alleghaniensis,betulaAlleghan
Betula.lenta,betulaLenta
Betula.nigra,betulaNigra
Betula.papyrifera,betulaPapyrife
Carpinus.caroliniana,carpinusCarolini
Carya.alba,caryaAlba
Carya.cordiformis,caryaCordifor
Carya.glabra,caryaGlabra
Carya.ovata,caryaOvata
Carya.texana,caryaTexana
Celtis.laevigata,celtisLaevigat
Celtis.occidentalis,celtisOccident
Cercis.canadensis,cercisCanadens
Cornus.florida,cornusFlorida
Crataegus.UNKN,crataeguUNKN
Diospyros.virginiana,diospyroVirginia
Fagus.grandifolia,fagusGrandifo
Fraxinus.americana,fraxinusAmerican
Fraxinus.nigra,fraxinusNigra
Fraxinus.pennsylvanica,fraxinusPennsylv
Gleditsia.triacanthos,gleditsiTriacant
Ilex.opaca,ilexOpaca
Juglans.nigra,juglansNigra
Juniperus.monosperma,juniperuMonosper
Juniperus.osteosperma,juniperuOsteospe
Juniperus.scopulorum,juniperuScopulor
Juniperus.virginiana,juniperuVirginia
Larix.laricina,larixLaricina
Liquidambar.styraciflua,liquidamStyracif
Liriodendron.tulipifera,liriodenTulipife
Maclura.pomifera,macluraPomifera
Magnolia.virginiana,magnoliaVirginia
Malus.UNKN,malusUNKN
Morus.rubra,morusRubra
Nyssa.biflora,nyssaBiflora
Nyssa.sylvatica,nyssaSylvatic
Ostrya.virginiana,ostryaVirginia
Oxydendrum.arboreum,oxydendrArboreum
Picea.engelmannii,piceaEngelman
Picea.glauca,piceaGlauca
Picea.mariana,piceaMariana
Pinus.banksiana,pinusBanksian
Pinus.contorta,pinusContorta
Pinus.echinata,pinusEchinata
Pinus.edulis,pinusEdulis
Pinus.elliottii,pinusElliotti
Pinus.palustris,pinusPalustri
Pinus.ponderosa,pinusPonderos
Pinus.resinosa,pinusResinosa
Pinus.strobus,pinusStrobus
Pinus.taeda,pinusTaeda
Pinus.virginiana,pinusVirginia
Platanus.occidentalis,platanusOccident
Populus.balsamifera,populusBalsamif
Populus.deltoides,populusDeltoide
Populus.grandidentata,populusGrandide
Populus.tremuloides,populusTremuloi
Prunus.pensylvanica,prunusPensylva
Prunus.serotina,prunusSerotina
Prunus.virginiana,prunusVirginia
Pseudotsuga.menziesii,pseudotsMenziesi
Quercus.alba,quercusAlba
Quercus.coccinea,quercusCoccinea
Quercus.ellipsoidalis,quercusEllipsoi
Quercus.falcata,quercusFalcata
Quercus.gambelii,quercusGambelii
Quercus.laurifolia,quercusLaurifol
Quercus.macrocarpa,quercusMacrocar
Quercus.marilandica,quercusMariland
Quercus.muehlenbergii,quercusMuehlenb
Quercus.nigra,quercusNigra
Quercus.pagoda,quercusPagoda
Quercus.phellos,quercusPhellos
Quercus.prinus,quercusPrinus
Quercus.rubra,quercusRubra
Quercus.stellata,quercusStellata
Quercus.velutina,quercusVelutina
Quercus.virginiana,quercusVirginia
Robinia.pseudoacacia,robiniaPseudoac
Salix.nigra,salixNigra
Sassafras.albidum,sassafraAlbidum
Thuja.occidentalis,thujaOccident
Thuja.plicata,thujaPlicata
Tilia.americana,tiliaAmerican
Tsuga.canadensis,tsugaCanadens
Tsuga.heterophylla,tsugaHeteroph
Tsuga.mertensiana,tsugaMertensi
Ulmus.alata,ulmusAlata
Ulmus.americana,ulmusAmerican
Ulmus.rubra,ulmusRubra
